"mID","tmdbID","imdbID","watchmodeID","title","plot","viewerRating","releaseYear","original_language","content_Rating","genre_names","language_names","aka_titles"
51,1,"12345",111,"The Avengers","Earth mightiest heroes must come together to fight as a team.","9.0",2012,"English","PG-13","Action, Adventure","Chinese, English","The Avengers"
52,2,"12346","","Titanic","A love story doomed by the sinking of a ship.","8.0",1997,"English","PG-13","Drama, Mystery","English, Spanish","Avengers Assemble"
53,3,"12347",112,"Inception","A thief steals corporate secrets through dream-sharing technology.","9.0",2010,"English","PG-13","Comedy, Sci-Fi","English, Italian","The Titanic"
54,4,"12348","","The Dark Knight","Batman faces the Joker in a battle for Gotham.","9.0",2008,"English","PG-13","Action, Thriller","English","Inception"
55,5,"12349",113,"Avatar","A marine on an alien planet fights for survival.","8.0",2009,"English","PG-13","Adventure, Fantasy","English","The Dark Knight"
56,6,"12350","","Pulp Fiction","A series of interconnected stories involving crime in Los Angeles.","9.0",1994,"English","R","Thriller","English","The Avengers"
57,7,"12351",114,"The Matrix","A computer hacker learns that the world he lives in is a simulated reality.","9.0",1999,"English","R","Sci-Fi","English","Avengers Assemble"
58,8,"12352","","Star Wars: A New Hope","A young farm boy joins a rebellion to defeat an evil empire.","9.0",1977,"English","PG","Action","English","The Titanic"
59,9,"12353",115,"Interstellar","Explorers travel through a wormhole to ensure humanitys survival.","9.0",2014,"English","PG-13","Adventure","English","Inception"
60,10,"12354","","The Godfather","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","10.0",1972,"English","R","Drama","English","The Dark Knight"
61,11,"12355",116,"Gladiator","A betrayed Roman general seeks revenge against the corrupt emperor who murdered his family and sent him into slavery.","9.0",2000,"English","R","Action","English","The Matrix"
62,12,"12356","","Jurassic Park","During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.","9.0",1993,"English","PG-13","Action","English","Pulp Fiction"
63,13,"12357","","The Terminator","A cyborg assassin is sent from the future to kill the mother of the future leader of the resistance.","8.0",1984,"English","R","Action","English","The Godfather"
64,14,"12358",117,"Mad Max: Fury Road","In a dystopian wasteland, Max teams up with a mysterious woman to overthrow a brutal warlord.","9.0",2015,"English","R","Adventure","English","Star Wars: A New Hope"
65,15,"12359","","The Wolf of Wall Street","The story of a wealthy stockbroker who defrauded investors and was eventually convicted of multiple crimes.","9.0",2013,"English","R","Comedy","English","Interstellar"
66,16,"12360","","The Prestige","Two magicians engage in a bitter rivalry, leading to dangerous consequences.","9.0",2006,"English","PG-13","Sci-Fi","English","The Lord of the Rings: The Return of the King"
67,17,"12361",118,"Shutter Island","A U.S. Marshal investigates the disappearance of a patient from a mental hospital.","9.0",2010,"English","R","Drama","English","Gladiator"
68,18,"12362","","The Revenant","A frontiersman struggles to survive after being mauled by a bear and left for dead by members of his own hunting team.","8.0",2015,"English","R","Action","English","Jurassic Park"
69,19,"12363","","Inglourious Basterds","A group of Jewish-American soldiers seek revenge on Nazi officials during World War II.","9.0",2009,"English","R","Drama","English","The Terminator"
70,20,"12364",119,"The Social Network","The story of the founding of Facebook and the legal battles that followed.","8.0",2010,"English","PG-13","Mystery","English","Mad Max: Fury Road"
71,21,"12365","","Guardians of the Galaxy","A group of intergalactic criminals must pull together to stop a fanatic from taking control of the universe.","8.0",2014,"English","PG-13","Action","English","The Wolf of Wall Street"
72,22,"12366","","The Martian","An astronaut stranded on Mars must figure out how to survive until rescue.","8.0",2015,"English","PG-13","Action","English","The Prestige"
